"Create a policy binding to grant the roles of storage admin and viewer to the user with the email user@example.com","""bindings"": [\n  {\n    ""role"": ""roles/storage.admin"",\n    ""members"": [\n      ""user:user@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/viewer"",\n    ""members"": [\n      ""user:user@example.com""\n    ]\n  }\n]"
"Create a policy binding to allow the user alice@example.com and the group devs@example.com to have the roles of viewer and editor on the project","""bindings"": [\n  {\n    ""role"": ""roles/viewer"",\n    ""members"": [\n      ""user:alice@example.com"",\n      ""group:devs@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/editor"",\n    ""members"": [\n      ""user:alice@example.com"",\n      ""group:devs@example.com""\n    ]\n  }\n]"
"Create a policy binding to give the user with email user1@example.com the roles of Viewer and Editor on the project.","""bindings"": [\n  {\n    ""role"": ""roles/viewer"",\n    ""members"": [\n      ""user:user1@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/editor"",\n    ""members"": [\n      ""user:user1@example.com""\n    ]\n  }\n]"
"Create a policy binding that grants the Viewer role to the user john.doe@example.com and the Editor role to the group dev-team@example.com.","""bindings"": [\n  {\n    ""role"": ""roles/viewer"",\n    ""members"": [\n      ""user:john.doe@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/editor"",\n    ""members"": [\n      ""group:dev-team@example.com""\n    ]\n  }\n]"
"Create a policy binding to assign the Viewer and Editor roles to the team members for the project","""bindings"": [\n  {\n    ""role"": ""roles/viewer"",\n    ""members"": [\n      ""user:alice@example.com"",\n      ""user:bob@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/editor"",\n    ""members"": [\n      ""user:alice@example.com"",\n      ""user:bob@example.com""\n    ]\n  }\n]"
"Create a policy binding to assign the Viewer role to the user with the email user@example.com and the Editor role to the group with the email editors@example.com.","""bindings"": [\n  {\n    ""role"": ""roles/viewer"",\n    ""members"": [\n      ""user:user@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/editor"",\n    ""members"": [\n      ""group:editors@example.com""\n    ]\n  }\n]"
"Create a policy binding that grants read access to a specific user and allows them to manage logging for a project.","""bindings"": [\n  {\n    ""role"": ""roles/logging.viewer"",\n    ""members"": [\n      ""user:john.doe@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/logging.admin"",\n    ""members"": [\n      ""user:john.doe@example.com""\n    ]\n  }\n]"
"Create a policy binding to grant the Viewer role to the user john.doe@example.com and the Editor role to the user jane.smith@example.com.","""bindings"": [\n  {\n    ""role"": ""roles/viewer"",\n    ""members"": [\n      ""user:john.doe@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/editor"",\n    ""members"": [\n      ""user:jane.smith@example.com""\n    ]\n  }\n]"
"Create a policy binding that assigns the Viewer role to the user john.doe@example.com and the Editor role to the group developers@example.com.","""bindings"": [\n  {\n    ""role"": ""roles/viewer"",\n    ""members"": [\n      ""user:john.doe@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/editor"",\n    ""members"": [\n      ""group:developers@example.com""\n    ]\n  }\n]"
"Create a policy binding that will provide the editor role to a specific user and a group","""bindings"": [\n  {\n    ""role"": ""roles/editor"",\n    ""members"": [\n      ""user:exampleuser@gmail.com"",\n      ""group:examplegroup@googlegroups.com""\n    ]\n  }\n]"
